Date,Forecast,Lower_CI,Upper_CI,ARIMA_Order,AIC,Actual
2025-06-18,29.781336,26.803202,32.75947,fallback,,29.100000381469727
2025-06-19,29.757498,26.781748,32.73325,fallback,,29.899999618530273
2025-06-20,29.705427,26.734884,32.675972,fallback,,29.399999618530273
2025-06-21,29.784939,26.806444,32.76343,fallback,,29.700000762939453
2025-06-22,29.69732,26.727587,32.667053,fallback,,29.399999618530273
2025-06-23,29.58043,26.622387,32.53847,fallback,,28.799999237060547
2025-06-24,29.499037,26.549133,32.44894,fallback,,28.200000762939453
2025-06-25,29.358166,26.422348,32.293983,fallback,,28.899999618530273
2025-06-26,29.289062,26.360155,32.217968,fallback,,29.299999237060547
2025-06-27,29.212933,26.29164,32.134228,fallback,,
2025-06-28,29.180658,26.262592,32.098724,fallback,,
